tiempo_s,x_est,y_est,theta_deg,wp_restantes,dist_wp,estado,crudo_m,kalman_m,enc_izq_rad,enc_der_rad,long_ejecutada_m
2.704,-0.9992,-0.9759,78.87,150,0.0509,FOLLOW_PATH,0.1385,0.1346,6.3428,9.8345,0.1658
2.72,-0.9989,-0.9748,79.15,149,0.0498,FOLLOW_PATH,0.1409,0.1351,6.393,9.8973,0.167
2.736,-0.9989,-0.9748,79.15,149,0.0785,FOLLOW_PATH,0.1342,0.1349,6.393,9.8973,0.167
2.752,-0.9987,-0.9737,79.01,149,0.0774,FOLLOW_PATH,0.1413,0.1356,6.4496,9.9475,0.1681
2.768,-0.9985,-0.9725,78.87,149,0.0762,FOLLOW_PATH,0.136,0.1347,6.5124,10.004,0.1693
2.784,-0.9983,-0.9714,78.59,149,0.075,FOLLOW_PATH,0.137,0.1344,6.5752,10.0543,0.1705
2.8,-0.998,-0.9703,78.44,149,0.074,FOLLOW_PATH,0.1396,0.1348,6.6317,10.1045,0.1715
2.816,-0.9978,-0.9691,78.16,149,0.0728,FOLLOW_PATH,0.1359,0.1342,6.6945,10.1548,0.1727
2.832,-0.9976,-0.968,77.88,149,0.0717,FOLLOW_PATH,0.1405,0.1348,6.7573,10.205,0.1739
2.848,-0.9973,-0.9669,77.88,149,0.0705,FOLLOW_PATH,0.139,0.1349,6.8138,10.2615,0.175
2.864,-0.9971,-0.9657,77.59,149,0.0694,FOLLOW_PATH,0.1372,0.1345,6.8766,10.3118,0.1762
2.88,-0.9968,-0.9647,77.45,149,0.0683,FOLLOW_PATH,0.1396,0.1349,6.9331,10.362,0.1773
2.896,-0.9966,-0.9635,77.17,149,0.0671,FOLLOW_PATH,0.1378,0.1347,6.9959,10.4122,0.1784
2.912,-0.9963,-0.9624,77.03,149,0.0659,FOLLOW_PATH,0.1424,0.1355,7.0587,10.4688,0.1797
2.928,-0.9961,-0.9613,76.88,149,0.0648,FOLLOW_PATH,0.1367,0.135,7.1152,10.519,0.1808
2.944,-0.9958,-0.9602,76.6,149,0.0637,FOLLOW_PATH,0.1343,0.1339,7.178,10.5692,0.1819
2.96,-0.9955,-0.9591,76.46,149,0.0626,FOLLOW_PATH,0.1364,0.1337,7.2346,10.6195,0.183
2.976,-0.9953,-0.9579,76.32,149,0.0613,FOLLOW_PATH,0.1396,0.1341,7.2974,10.676,0.1842
2.992,-0.995,-0.9568,76.17,149,0.0603,FOLLOW_PATH,0.1359,0.1337,7.3539,10.7262,0.1853
3.008,-0.9947,-0.9557,75.89,149,0.0591,FOLLOW_PATH,0.1387,0.134,7.4167,10.7765,0.1865
3.024,-0.9944,-0.9546,75.89,149,0.058,FOLLOW_PATH,0.1413,0.1348,7.4732,10.833,0.1876
3.04,-0.9942,-0.9535,75.61,149,0.0568,FOLLOW_PATH,0.136,0.1342,7.536,10.8832,0.1888
3.056,-0.9939,-0.9524,75.46,149,0.0557,FOLLOW_PATH,0.1377,0.1342,7.5925,10.9335,0.1899
3.072,-0.9936,-0.9513,75.18,149,0.0546,FOLLOW_PATH,0.139,0.1344,7.6553,10.9837,0.1911
3.088,-0.9933,-0.9502,75.18,149,0.0534,FOLLOW_PATH,0.138,0.1344,7.7118,11.0402,0.1922
3.104,-0.993,-0.9491,74.9,149,0.0522,FOLLOW_PATH,0.1328,0.1331,7.7746,11.0905,0.1934
3.12,-0.9927,-0.9479,74.9,149,0.0511,FOLLOW_PATH,0.1356,0.1328,7.8312,11.147,0.1945
3.136,-0.9924,-0.9468,74.61,148,0.0499,FOLLOW_PATH,0.135,0.1324,7.894,11.1972,0.1957
3.152,-0.9924,-0.9468,74.61,148,0.0834,FOLLOW_PATH,0.1381,0.1337,7.894,11.1972,0.1957
3.168,-0.9921,-0.9458,74.19,148,0.0823,FOLLOW_PATH,0.1376,0.1338,7.9568,11.2412,0.1968
3.184,-0.9918,-0.9447,73.62,148,0.0812,FOLLOW_PATH,0.1412,0.1347,8.0258,11.2852,0.1979
3.2,-0.9914,-0.9435,73.2,148,0.08,FOLLOW_PATH,0.1413,0.1353,8.0949,11.3354,0.1992
3.216,-0.9911,-0.9424,72.77,148,0.079,FOLLOW_PATH,0.1356,0.1345,8.1577,11.3794,0.2003
3.232,-0.9908,-0.9413,72.2,148,0.0778,FOLLOW_PATH,0.1387,0.1346,8.2268,11.4233,0.2014
3.248,-0.9904,-0.9402,71.92,148,0.0767,FOLLOW_PATH,0.1386,0.1347,8.2896,11.4736,0.2026
3.264,-0.9901,-0.9392,71.49,148,0.0757,FOLLOW_PATH,0.1402,0.1351,8.3524,11.5175,0.2037
3.28,-0.9897,-0.938,71.07,148,0.0745,FOLLOW_PATH,0.1389,0.1351,8.4215,11.5678,0.2049
3.296,-0.9893,-0.937,70.64,148,0.0734,FOLLOW_PATH,0.1406,0.1355,8.4843,11.6117,0.206
3.312,-0.9889,-0.9359,70.07,148,0.0723,FOLLOW_PATH,0.1389,0.1354,8.5534,11.6557,0.2071
3.328,-0.9885,-0.9348,69.79,148,0.0711,FOLLOW_PATH,0.1362,0.1347,8.6162,11.7059,0.2083
3.344,-0.9881,-0.9338,69.37,148,0.0701,FOLLOW_PATH,0.1393,0.1349,8.679,11.7499,0.2094
3.36,-0.9877,-0.9327,69.08,148,0.0689,FOLLOW_PATH,0.1415,0.1356,8.7418,11.8001,0.2106
3.376,-0.9873,-0.9316,68.66,148,0.0677,FOLLOW_PATH,0.134,0.1343,8.8108,11.8504,0.2118
3.392,-0.9869,-0.9305,68.23,148,0.0667,FOLLOW_PATH,0.1372,0.1341,8.8736,11.8943,0.2129
3.408,-0.9864,-0.9295,67.95,148,0.0655,FOLLOW_PATH,0.1358,0.1336,8.9364,11.9446,0.214
3.424,-0.986,-0.9285,67.52,148,0.0645,FOLLOW_PATH,0.1374,0.1337,8.9992,11.9885,0.2151
3.44,-0.9856,-0.9273,67.1,148,0.0633,FOLLOW_PATH,0.1391,0.134,9.0683,12.0388,0.2163
3.456,-0.9851,-0.9263,66.81,148,0.0621,FOLLOW_PATH,0.1326,0.1328,9.1311,12.089,0.2175
3.472,-0.9847,-0.9253,66.39,148,0.0611,FOLLOW_PATH,0.139,0.1334,9.1939,12.133,0.2186
