t,x,y,theta_deg,idx,target_x,target_y,v,w,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7
3.672,-0.9828273329175519,-0.8200821791453413,82.69920760734219,4,-0.975,-0.75,0.0816483874091192,0.04858771252062799,66,68,65,66,69,66,66,60
3.68,-0.9827455325988795,-0.819443697823872,82.69920760734216,4,-0.975,-0.7000000000000002,0.057685107764241135,0.18800042231371455,68,68,64,63,64,67,67,66
3.688,-0.9826888256758827,-0.8189966903597462,82.84105873531358,4,-0.975,-0.7000000000000002,0.05884214707473386,0.18126904046601358,63,65,60,67,66,71,67,64
3.696,-0.9826332256128715,-0.8185495438724592,82.98290986328503,4,-0.975,-0.7000000000000002,0.06000311413565699,0.1745148078925769,75,68,66,62,65,64,71,67
3.704,-0.9825703153216766,-0.8180384410483017,82.98290986328503,4,-0.975,-0.7000000000000002,0.059872590278074324,0.17527416491498407,62,60,67,61,65,69,64,67
3.712,-0.9825158224594477,-0.8175911582786066,83.1247609912565,4,-0.975,-0.7000000000000002,0.061036544673147064,0.16850255273595807,70,64,67,64,72,68,63,61
3.72,-0.9824541777324081,-0.8170799012696295,83.12476099125647,4,-0.975,-0.7000000000000002,0.06090947710659955,0.16924180187220839,66,69,73,69,72,72,65,73
3.728,-0.9824007924049717,-0.8166324849591149,83.26661211922789,4,-0.975,-0.7000000000000002,0.06207649327206171,0.16245237703510385,67,70,64,65,64,71,67,63
3.736,-0.9823404136199344,-0.8161210768990323,83.26661211922791,4,-0.975,-0.7000000000000002,0.0619529684729066,0.1631710151861443,67,71,71,62,71,69,70,70
3.744,-0.9822881361545122,-0.8156735297901052,83.40846324719934,4,-0.975,-0.7000000000000002,0.06312312333102099,0.15636333017537662,64,63,69,63,72,70,67,66
3.7520000000000002,-0.9822290236815647,-0.8151619738135572,83.40846324719931,4,-0.975,-0.7000000000000002,0.06300323067568504,0.15706083737023357,67,60,63,66,67,61,64,64
3.7600000000000002,-0.9821699112086173,-0.8146504178370091,83.40846324719935,4,-0.975,-0.7000000000000002,0.06288226458130045,0.15776458958033013,63,67,66,72,71,71,63,66
3.7680000000000002,-0.9821120654100854,-0.8141387170795422,83.69216550314219,4,-0.975,-0.7000000000000002,0.06531927199679177,0.1435866551483831,72,69,67,67,64,63,64,64
3.7760000000000002,-0.982055486640531,-0.8136268746775905,83.69216550314216,4,-0.975,-0.7000000000000002,0.06520767591271646,0.14423589484819854,64,63,68,63,68,70,67,64
3.7840000000000003,-0.9819989078709765,-0.8131150322756389,83.69216550314219,4,-0.975,-0.7000000000000002,0.06509506685012566,0.1448910278181299,68,70,66,67,67,66,69,62
3.7920000000000003,-0.9819423291014221,-0.8126031898736872,83.69216550314219,4,-0.975,-0.7000000000000002,0.06498143096452996,0.14555213460215133,66,65,72,65,72,69,64,70
